mu,seed,best_validation_macro_f1,clean_test_accuracy,clean_test_macro_f1,mnar50_accuracy,mnar50_macro_f1,mnar50_ece
0.00,42,0.8717,0.7559,0.6316,0.5498,0.5015,0.1145
0.00,264,0.8732,0.7361,0.6080,0.4934,0.4630,0.1719
0.01,42,0.8697,0.7300,0.6424,0.5063,0.4564,0.1524
0.01,264,0.8753,0.7326,0.6125,0.5603,0.4857,0.1340
